Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","400","Jordan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","56.08","I","Imputed value",""
"TCL","Crops and livestock products","400","Jordan","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","398","Kazakhstan","5610","Import Quantity","01344.02","Cherries","2022","2022","t","8505.12","A","Official figure",""
"TCL","Crops and livestock products","398","Kazakhstan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","726.7","I","Imputed value",""
"TCL","Crops and livestock products","398","Kazakhstan","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","167.62","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","01344.02","Cherries","2022","2022","t","53.3","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.09","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.62","A","Official figure",""
"TCL","Crops and livestock products","414","Kuwait","5610","Import Quantity","01344.02","Cherries","2022","2022","t","343.86","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","414","Kuwait","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","9.4","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","417","Kyrgyzstan","5610","Import Quantity","01344.02","Cherries","2022","2022","t","4823.18","A","Official figure",""
"TCL","Crops and livestock products","417","Kyrgyzstan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","6148.08","A","Official figure",""
